2370,P,Xian 1980 / 3-degree Gauss-Kruger CM 75E,40.65;73.62;35.81;76.5
2371,P,Xian 1980 / 3-degree Gauss-Kruger CM 78E,41.83;76.5;31.03;79.5
2372,P,Xian 1980 / 3-degree Gauss-Kruger CM 81E,45.88;79.5;29.95;82.51
2373,P,Xian 1980 / 3-degree Gauss-Kruger CM 84E,47.23;82.5;28.26;85.5
2374,P,Xian 1980 / 3-degree Gauss-Kruger CM 87E,49.18;85.5;27.8;88.5
2375,P,Xian 1980 / 3-degree Gauss-Kruger CM 90E,48.42;88.49;27.32;91.51
2376,P,Xian 1980 / 3-degree Gauss-Kruger CM 93E,45.13;91.5;27.71;94.5
2377,P,Xian 1980 / 3-degree Gauss-Kruger CM 96E,44.5;94.5;28.23;97.51
2378,P,Xian 1980 / 3-degree Gauss-Kruger CM 99E,42.76;97.5;21.43;100.5
2379,P,Xian 1980 / 3-degree Gauss-Kruger CM 102E,42.69;100.5;21.13;103.5
2380,P,Xian 1980 / 3-degree Gauss-Kruger CM 105E,42.21;103.5;22.5;106.51
2381,P,Xian 1980 / 3-degree Gauss-Kruger CM 108E,42.47;106.5;18.19;109.51
2382,P,Xian 1980 / 3-degree Gauss-Kruger CM 111E,45.11;109.5;18.11;112.5
2383,P,Xian 1980 / 3-degree Gauss-Kruger CM 114E,45.45;112.5;21.52;115.5
2384,P,Xian 1980 / 3-degree Gauss-Kruger CM 117E,49.88;115.5;22.6;118.5
2385,P,Xian 1980 / 3-degree Gauss-Kruger CM 120E,53.33;118.5;24.43;121.5
2386,P,Xian 1980 / 3-degree Gauss-Kruger CM 123E,53.56;121.5;28.22;124.5
2387,P,Xian 1980 / 3-degree Gauss-Kruger CM 126E,53.2;124.5;40.19;127.5
2388,P,Xian 1980 / 3-degree Gauss-Kruger CM 129E,50.25;127.5;41.37;130.5
2389,P,Xian 1980 / 3-degree Gauss-Kruger CM 132E,48.88;130.5;42.42;133.5
2390,P,Xian 1980 / 3-degree Gauss-Kruger CM 135E,48.4;133.5;45.85;134.77
2391,P,KKJ / Finland zone 1,69.33;19.5;59.76;22.5
2392,P,KKJ / Finland zone 2,68.9;22.5;59.75;25.5
2393,P,KKJ / Finland Uniform Coordinate System,70.09;25.5;60.18;28.51
2394,P,KKJ / Finland zone 4,69.81;28.5;60.94;31.5
2395,P,South Yemen / Gauss-Kruger zone 8,17.95;43.37;12.54;48.01
2396,P,South Yemen / Gauss-Kruger zone 9,19;48;13.94;53.14
2397,P,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 3,51.56;9.92;50.35;10.5
2398,P,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 4,54.74;10.5;48.97;13.5
2399,P,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 5,54.72;13.5;46.54;16.5
2401,P,Beijing 1954 / 3-degree Gauss-Kruger zone 25,40.65;73.62;35.81;76.5
